time,acc
1.2631,39.1741
1.2669,39.1741
1.2375,39.1741
1.2424,39.1741
1.2262,38.8393
1.2100,39.1741
1.2451,33.3705
1.2307,34.0402
1.2522,39.1741
1.2345,39.1741
1.2422,39.1741
1.2373,39.1741
1.2741,39.1741
1.2417,39.1741
1.2274,39.1741
1.2973,34.0402
1.3116,39.1741
1.2762,33.3705
1.2693,39.1741
1.2549,39.1741
1.2482,39.1741
1.2620,39.1741
0.0007,0.0000
0.0007,0.0000
0.0007,0.0000
0.0007,0.0000
1.2128,39.1741
1.2622,34.0402
1.2478,38.8393
1.4103,39.1741
1.4223,34.0402
1.4001,39.1741
1.3999,39.1741
